year,month_id,week_count,month_start
2020,1,4,2019-12-30
2020,2,4,2020-01-27
2020,3,5,2020-02-24
2020,4,4,2020-03-30
2020,5,5,2020-04-27
2020,6,4,2020-06-01
2020,7,4,2020-06-29
2020,8,5,2020-07-27
2020,9,4,2020-08-31
2020,10,4,2020-09-28
2020,11,5,2020-10-26
2020,12,4,2020-11-30
2021,1,5,2020-12-28
2021,2,4,2021-02-01
2021,3,4,2021-03-01
2021,4,4,2021-03-29
2021,5,5,2021-04-26
2021,6,4,2021-05-31
2021,7,4,2021-06-28
2021,8,5,2021-07-26
2021,9,4,2021-08-30
2021,10,5,2021-09-27
2021,11,4,2021-11-01
2021,12,4,2021-11-29
2022,1,5,2021-12-27
2022,2,4,2022-01-31
2022,3,4,2022-02-28
2022,4,4,2022-03-28
2022,5,5,2022-04-25
2022,6,4,2022-05-30
2022,7,5,2022-06-27
2022,8,4,2022-08-01
2022,9,4,2022-08-29
2022,10,5,2022-09-26
2022,11,4,2022-10-31
2022,12,4,2022-11-28
2023,1,5,2022-12-26
2023,2,4,2023-01-30
2023,3,4,2023-02-27
2023,4,4,2023-03-27
2023,5,5,2023-04-24
2023,6,4,2023-05-29
2023,7,5,2023-06-26
2023,8,4,2023-07-31
2023,9,4,2023-08-28
2023,10,5,2023-09-25
2023,11,4,2023-10-30
2023,12,4,2023-11-27
